,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Just Awake,0.357,0.98,5,-1.286,0,0.153,0.00143,0,0.196,0.567,191.147,audio_features,1Gqpa08T7eBAvPQj9O9L2Q,spotify:track:1Gqpa08T7eBAvPQj9O9L2Q,https://api.spotify.com/v1/tracks/1Gqpa08T7eBAvPQj9O9L2Q,https://api.spotify.com/v1/audio-analysis/1Gqpa08T7eBAvPQj9O9L2Q,218573,4
No Hay Tiempo,0.823,0.357,9,-7.873,0,0.0543,0.604,1.77e-06,0.0964,0.455,124.999,audio_features,0RLXO6Jbr2XxTcPMeruZzU,spotify:track:0RLXO6Jbr2XxTcPMeruZzU,https://api.spotify.com/v1/tracks/0RLXO6Jbr2XxTcPMeruZzU,https://api.spotify.com/v1/audio-analysis/0RLXO6Jbr2XxTcPMeruZzU,155317,4
Escape from the City,0.573,0.956,6,-4.629,0,0.08,9.3e-06,0,0.13,0.754,129.956,audio_features,5CZNuQZszsDSa0VX7kpFsV,spotify:track:5CZNuQZszsDSa0VX7kpFsV,https://api.spotify.com/v1/tracks/5CZNuQZszsDSa0VX7kpFsV,https://api.spotify.com/v1/audio-analysis/5CZNuQZszsDSa0VX7kpFsV,139920,4
Kessen Spirit (Haikyuu!! Season 4: To the Top),0.511,0.96,8,-2.793,1,0.146,0.0139,0,0.128,0.639,187.912,audio_features,58kuZTe53XeFCMYQbKXis6,spotify:track:58kuZTe53XeFCMYQbKXis6,https://api.spotify.com/v1/tracks/58kuZTe53XeFCMYQbKXis6,https://api.spotify.com/v1/audio-analysis/58kuZTe53XeFCMYQbKXis6,90638,4
Hard Knock Days,0.559,0.936,6,-3.749,1,0.0874,0.0139,0,0.33,0.717,92.024,audio_features,3TKn9Pimpg49NboyPo0Hhl,spotify:track:3TKn9Pimpg49NboyPo0Hhl,https://api.spotify.com/v1/tracks/3TKn9Pimpg49NboyPo0Hhl,https://api.spotify.com/v1/audio-analysis/3TKn9Pimpg49NboyPo0Hhl,272773,4
Pillow,0.584,0.7,11,-4.275,1,0.0456,0.117,0,0.0939,0.438,124.944,audio_features,0PDUDa38GO8lMxLCRc4lL1,spotify:track:0PDUDa38GO8lMxLCRc4lL1,https://api.spotify.com/v1/tracks/0PDUDa38GO8lMxLCRc4lL1,https://api.spotify.com/v1/audio-analysis/0PDUDa38GO8lMxLCRc4lL1,202747,4
Marihuana,0.706,0.756,2,-4.126,1,0.0972,0.378,0,0.0404,0.961,170.19,audio_features,3TdnS4WIvUhgOz9Qk4yaML,spotify:track:3TdnS4WIvUhgOz9Qk4yaML,https://api.spotify.com/v1/tracks/3TdnS4WIvUhgOz9Qk4yaML,https://api.spotify.com/v1/audio-analysis/3TdnS4WIvUhgOz9Qk4yaML,169448,4
If Only,0.477,0.6,7,-5.652,1,0.0324,0.271,0,0.112,0.29,152.062,audio_features,1mRBJdpIgc3jZH8C3cN2WV,spotify:track:1mRBJdpIgc3jZH8C3cN2WV,https://api.spotify.com/v1/tracks/1mRBJdpIgc3jZH8C3cN2WV,https://api.spotify.com/v1/audio-analysis/1mRBJdpIgc3jZH8C3cN2WV,229813,3
Solamente Vos,0.508,0.753,9,-6.574,0,0.0341,0.00799,0,0.0893,0.816,112.968,audio_features,0Te2DhMi2aUZhs3lZTWO80,spotify:track:0Te2DhMi2aUZhs3lZTWO80,https://api.spotify.com/v1/tracks/0Te2DhMi2aUZhs3lZTWO80,https://api.spotify.com/v1/audio-analysis/0Te2DhMi2aUZhs3lZTWO80,189613,4
Softly It Goes,0.834,0.265,2,-18.448,1,0.201,0.573,0.814,0.15,0.156,78.003,audio_features,4wKwwPyZkUTSepORGw3k3T,spotify:track:4wKwwPyZkUTSepORGw3k3T,https://api.spotify.com/v1/tracks/4wKwwPyZkUTSepORGw3k3T,https://api.spotify.com/v1/audio-analysis/4wKwwPyZkUTSepORGw3k3T,92308,4
Jenny of Oldstones (Game of Thrones),0.27,0.195,1,-10.653,0,0.0797,0.931,9.73e-06,0.0949,0.171,46.489,audio_features,1u0THw5xaGd7sYzJEh48Lt,spotify:track:1u0THw5xaGd7sYzJEh48Lt,https://api.spotify.com/v1/tracks/1u0THw5xaGd7sYzJEh48Lt,https://api.spotify.com/v1/audio-analysis/1u0THw5xaGd7sYzJEh48Lt,188639,4
Seasonings,0.676,0.386,8,-6.549,0,0.0402,0.078,0.675,0.19,0.354,84.942,audio_features,2NH4KA0DjuKagbMBVYIJYY,spotify:track:2NH4KA0DjuKagbMBVYIJYY,https://api.spotify.com/v1/tracks/2NH4KA0DjuKagbMBVYIJYY,https://api.spotify.com/v1/audio-analysis/2NH4KA0DjuKagbMBVYIJYY,149647,4
